"Date","Score"
2016-11-19,0.06
2016-11-20,0.0214285714285714
2016-11-21,-0.0555555555555556
2016-11-22,0.0125
2016-11-23,0.245454545454545
2016-11-24,0
2016-11-25,-0.0714285714285714
2016-11-26,0.142857142857143
2016-11-27,0
2016-11-28,0.18
2016-11-29,0.108333333333333
2016-11-30,0.204166666666667
2016-12-01,0.125
2016-12-02,0.0454545454545455
2016-12-03,-0.1
2016-12-04,0.13125
2016-12-05,0.1125
2016-12-06,-0.0541666666666667
2016-12-07,0.0125
2016-12-08,0.283333333333333
2016-12-09,0.09
2016-12-10,-0.05
2016-12-11,-0.075
2016-12-12,0.0363636363636364
2016-12-13,0.035
2016-12-14,-0.0277777777777778
2016-12-15,0
2016-12-16,0.02
2016-12-17,0.0555555555555556
2016-12-18,0.0857142857142857
2016-12-19,0
2016-12-20,0.1
2016-12-21,0.03
2016-12-22,0.0888888888888889
2016-12-23,0.15
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0.0111111111111111
2016-12-28,-0.14
2016-12-29,0.005
2016-12-30,0.0833333333333333
2016-12-31,0.0125
2017-01-01,0.219230769230769
2017-01-02,0.03125
2017-01-03,0.108333333333333
2017-01-04,0.0724137931034483
2017-01-05,0.107142857142857
2017-01-06,0.00882352941176471
2017-01-07,-0.0625
2017-01-08,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0.307142857142857
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0.12
2017-01-30,-0.045
2017-01-31,0
2017-02-01,0
2017-02-02,0.05
2017-02-03,0
2017-02-04,0
2017-02-05,0.228571428571429
2017-02-06,0
2017-02-07,-0.0142857142857143
2017-02-08,0.333333333333333
2017-02-09,0
2017-02-10,-0.0666666666666667
2017-02-11,0.114285714285714
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,-0.107142857142857
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0.0611111111111111
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,0.31
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-24,0
